YEAR,FIPS,PLACE,GEO_ID,NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M
2021,602462,Arcadia,6037430701,Census Tract 4307.01,98951.0,19430.0,84174.0,24620.0,,,,,121772.0,25373.0,,,,,,,83358.0,6188.0,117636.0,25086.0
2021,602462,Arcadia,6037430721,Census Tract 4307.21,78222.0,40931.0,110179.0,55890.0,,,,,78536.0,59718.0,,,,,163710.0,87224.0,110741.0,43698.0,76405.0,59995.0
2021,602462,Arcadia,6037430723,Census Tract 4307.23,83006.0,17826.0,73972.0,33447.0,,,,,92521.0,38602.0,,,90884.0,62032.0,,,85074.0,24089.0,49554.0,38311.0
2021,602462,Arcadia,6037430724,Census Tract 4307.24,96889.0,19294.0,88007.0,65249.0,,,,,108919.0,11971.0,,,83513.0,36030.0,,,96212.0,92032.0,83412.0,11953.0
2021,602462,Arcadia,6037430801,Census Tract 4308.01,110923.0,34658.0,83965.0,70938.0,,,,,119873.0,8167.0,,,,,76173.0,48451.0,125266.0,48326.0,72378.0,20100.0
2021,602462,Arcadia,6037430802,Census Tract 4308.02,136316.0,29341.0,138022.0,60098.0,,,,,136216.0,40303.0,,,,,,,148051.0,33835.0,,
2021,602462,Arcadia,6037430803,Census Tract 4308.03,116283.0,30458.0,102300.0,33442.0,,,,,166779.0,80819.0,,,43613.0,2057.0,184135.0,46771.0,101597.0,45041.0,85052.0,77280.0
2021,602462,Arcadia,6037431300,Census Tract 4313,116972.0,23136.0,124509.0,30147.0,,,,,107235.0,19829.0,,,157852.0,126236.0,133394.0,39019.0,131465.0,48895.0,131543.0,47192.0
2021,602462,Arcadia,6037431400,Census Tract 4314,106923.0,38958.0,87086.0,43947.0,,,,,133452.0,38145.0,,,77110.0,64376.0,,,70142.0,40929.0,133583.0,100609.0
2021,602462,Arcadia,6037431502,Census Tract 4315.02,91447.0,26865.0,83709.0,16274.0,,,,,76775.0,48120.0,,,113488.0,108072.0,228130.0,151665.0,103405.0,46282.0,102702.0,66399.0
2021,602462,Arcadia,6037431600,Census Tract 4316,119404.0,22196.0,69563.0,62920.0,,,,,120919.0,38102.0,,,,,173803.0,68935.0,,,167137.0,96245.0
2021,602462,Arcadia,6037431701,Census Tract 4317.01,121213.0,43877.0,188687.0,72721.0,,,,,89499.0,53610.0,,,,,,,189018.0,58939.0,,
2021,602462,Arcadia,6037431800,Census Tract 4318,95134.0,28923.0,144653.0,123511.0,,,,,95424.0,18725.0,,,,,,,146580.0,122153.0,,
2021,602462,Arcadia,6037432502,Census Tract 4325.02,95095.0,18542.0,123905.0,67358.0,,,,,76855.0,17491.0,,,,,121958.0,63583.0,91175.0,25998.0,124533.0,22023.0
2021,602896,Artesia,6037554801,Census Tract 5548.01,79489.0,26006.0,77203.0,44252.0,,,,,147488.0,126237.0,,,41831.0,13739.0,131352.0,58531.0,49303.0,1058.0,83709.0,31153.0
2021,602896,Artesia,6037554802,Census Tract 5548.02,108296.0,15535.0,89236.0,56081.0,106963.0,45511.0,,,118336.0,13363.0,,,44082.0,6129.0,99243.0,47740.0,91760.0,76423.0,,
