YEAR,FIPS,PLACE,GEO_ID,NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,2023_CPI_DOLLARS_ADJ_FACTOR
2017,644000,Los Angeles,6037134424,Census Tract 1344.24,166698.0,10739.0,163579.0,11016.0,,,,,224476.0,106007.0,,,245190.0,,,,162590.0,12253.0,,,1.223021582733813
2017,644000,Los Angeles,6037134520,Census Tract 1345.20,50499.0,12203.0,38877.0,7805.0,44207.0,21665.0,,,127583.0,72661.0,,,54032.0,18477.0,38438.0,24117.0,31374.0,4533.0,53040.0,10437.0,1.223021582733813
2017,644000,Los Angeles,6037134521,Census Tract 1345.21,60328.0,9213.0,46933.0,30908.0,,,,,,,,,60563.0,11456.0,,,,,54491.0,19456.0,1.223021582733813
2017,644000,Los Angeles,6037134522,Census Tract 1345.22,42776.0,4041.0,40121.0,7434.0,,,,,56905.0,48788.0,,,44388.0,4852.0,,,36266.0,7990.0,44415.0,4511.0,1.223021582733813
2017,644000,Los Angeles,6037134710,Census Tract 1347.10,54187.0,8195.0,67776.0,13769.0,3056.0,,,,62449.0,18654.0,,,40964.0,8895.0,,,79581.0,40011.0,47874.0,7939.0,1.223021582733813
2017,644000,Los Angeles,6037134720,Census Tract 1347.20,75059.0,8204.0,79751.0,5970.0,63891.0,29608.0,,,84847.0,34680.0,,,55928.0,38498.0,75420.0,43673.0,77343.0,9329.0,77968.0,19982.0,1.223021582733813
2017,644000,Los Angeles,6037134800,Census Tract 1348,75420.0,15705.0,90113.0,15272.0,77968.0,74664.0,,,58803.0,22727.0,,,58476.0,23575.0,,,87031.0,26887.0,69101.0,17993.0,1.223021582733813
2017,644000,Los Angeles,6037134901,Census Tract 1349.01,83707.0,18438.0,83406.0,22131.0,,,,,38831.0,34024.0,,,,,,,84133.0,28273.0,70324.0,31802.0,1.223021582733813
2017,644000,Los Angeles,6037134903,Census Tract 1349.03,66460.0,12353.0,64536.0,13030.0,90858.0,11411.0,,,85290.0,43604.0,,,,,,,64342.0,18569.0,62966.0,19106.0,1.223021582733813
2017,644000,Los Angeles,6037134904,Census Tract 1349.04,59867.0,9285.0,56157.0,11938.0,,,,,,,,,51854.0,23735.0,176280.0,47972.0,55852.0,13300.0,57941.0,16170.0,1.223021582733813
2017,644000,Los Angeles,6037134905,Census Tract 1349.05,94058.0,15929.0,96466.0,17629.0,78242.0,43713.0,,,178408.0,72808.0,,,,,,,100809.0,21723.0,90630.0,25069.0,1.223021582733813
2017,644000,Los Angeles,6037135102,Census Tract 1351.02,129199.0,18880.0,128593.0,30343.0,141521.0,77220.0,,,131197.0,50500.0,,,105730.0,92898.0,,,118174.0,40752.0,128502.0,84956.0,1.223021582733813
2017,644000,Los Angeles,6037135111,Census Tract 1351.11,111685.0,9767.0,111601.0,12120.0,,,,,165618.0,106968.0,,,,,,,121607.0,27074.0,87881.0,41410.0,1.223021582733813
2017,644000,Los Angeles,6037135113,Census Tract 1351.13,88197.0,7663.0,86151.0,14309.0,86306.0,38212.0,,,119900.0,32894.0,,,,,92575.0,57980.0,86750.0,13192.0,,,1.223021582733813
2017,644000,Los Angeles,6037135114,Census Tract 1351.14,65246.0,17247.0,41277.0,11637.0,78732.0,41309.0,,,103804.0,42374.0,,,,,,,41385.0,11471.0,,,1.223021582733813
2017,644000,Los Angeles,6037135201,Census Tract 1352.01,127180.0,18015.0,123040.0,26215.0,187077.0,27953.0,,,149183.0,35333.0,,,,,216705.0,212131.0,124780.0,22545.0,77662.0,20204.0,1.223021582733813
2017,644000,Los Angeles,6037135202,Census Tract 1352.02,135212.0,12376.0,136188.0,16066.0,,,,,134787.0,38377.0,,,,,,,135467.0,18848.0,118327.0,59827.0,1.223021582733813
2017,644000,Los Angeles,6037135203,Census Tract 1352.03,137787.0,9387.0,121232.0,33995.0,162447.0,44154.0,,,158568.0,100350.0,,,,,,,130503.0,36765.0,,,1.223021582733813
2017,644000,Los Angeles,6037137000,Census Tract 1370,126888.0,16969.0,125431.0,21597.0,245190.0,245190.0,,,130710.0,117112.0,,,,,,,125431.0,23182.0,135188.0,118451.0,1.223021582733813
2017,644000,Los Angeles,6037137103,Census Tract 1371.03,89715.0,7401.0,91033.0,13458.0,,,,,81705.0,26884.0,,,,,159327.0,142121.0,101077.0,14800.0,79670.0,10840.0,1.223021582733813
2017,644000,Los Angeles,6037137104,Census Tract 1371.04,123352.0,21764.0,123352.0,16123.0,,,,,150257.0,81249.0,,,,,,,124101.0,13993.0,81025.0,36779.0,1.223021582733813
2017,644000,Los Angeles,6037137201,Census Tract 1372.01,91648.0,20371.0,90780.0,25679.0,91294.0,32765.0,,,111820.0,17164.0,,,63644.0,34659.0,,,89998.0,20695.0,82060.0,58195.0,1.223021582733813
2017,644000,Los Angeles,6037137301,Census Tract 1373.01,180141.0,22442.0,171987.0,30595.0,,,,,181205.0,154223.0,,,,,,,161745.0,29288.0,233648.0,169546.0,1.223021582733813
2017,644000,Los Angeles,6037137302,Census Tract 1373.02,156653.0,18844.0,154885.0,16655.0,245190.0,,,,197564.0,84527.0,,,,,,,151179.0,18474.0,233563.0,126361.0,1.223021582733813
2017,644000,Los Angeles,6037137401,Census Tract 1374.01,132698.0,27281.0,133156.0,29361.0,,,,,,,,,,,,,124641.0,31526.0,163579.0,31931.0,1.223021582733813
2017,644000,Los Angeles,6037137402,Census Tract 1374.02,110741.0,29788.0,105833.0,28045.0,,,,,245190.0,54824.0,,,,,,,97346.0,29304.0,,,1.223021582733813
2017,644000,Los Angeles,6037137501,Census Tract 1375.01,90441.0,16287.0,97658.0,18114.0,57220.0,21087.0,,,118662.0,31537.0,,,65227.0,51086.0,,,99829.0,19702.0,71705.0,20620.0,1.223021582733813
2017,644000,Los Angeles,6037137502,Census Tract 1375.02,118589.0,25145.0,114658.0,28816.0,168739.0,86042.0,,,,,,,96466.0,82735.0,,,112898.0,28473.0,,,1.223021582733813
2017,644000,Los Angeles,6037137504,Census Tract 1375.04,214412.0,29096.0,219379.0,29702.0,,,,,,,,,,,,,223966.0,32436.0,,,1.223021582733813
2017,644000,Los Angeles,6037138000,Census Tract 1380,146165.0,31478.0,151009.0,39206.0,,,,,245190.0,33261.0,,,142176.0,63025.0,,,138737.0,38408.0,143838.0,90296.0,1.223021582733813
2017,644000,Los Angeles,6037139001,Census Tract 1390.01,95594.0,23791.0,83113.0,15240.0,,,,,193052.0,59403.0,,,,,,,96763.0,24363.0,70711.0,23983.0,1.223021582733813
2017,644000,Los Angeles,6037139200,Census Tract 1392,92377.0,29682.0,79071.0,27304.0,,,,,127767.0,17471.0,,,53847.0,3412.0,,,76940.0,14587.0,102878.0,63757.0,1.223021582733813
2017,644000,Los Angeles,6037139301,Census Tract 1393.01,120561.0,18109.0,125242.0,29224.0,,,,,,,,,,,,,111792.0,30698.0,121921.0,85834.0,1.223021582733813
2017,644000,Los Angeles,6037139302,Census Tract 1393.02,59056.0,8919.0,58886.0,7896.0,,,,,,,,,68158.0,39918.0,66989.0,15239.0,61640.0,5254.0,52523.0,11241.0,1.223021582733813
2017,644000,Los Angeles,6037139303,Census Tract 1393.03,63690.0,8868.0,66008.0,10459.0,,,,,95029.0,37926.0,,,50516.0,33983.0,93660.0,74939.0,68097.0,13457.0,56917.0,19924.0,1.223021582733813
2017,644000,Los Angeles,6037139401,Census Tract 1394.01,75777.0,12913.0,75260.0,21821.0,73751.0,29622.0,,,,,,,,,63236.0,20970.0,70451.0,32071.0,,,1.223021582733813
2017,644000,Los Angeles,6037139402,Census Tract 1394.02,126634.0,46690.0,125207.0,46977.0,,,,,,,,,,,236960.0,194131.0,125284.0,51547.0,146982.0,41672.0,1.223021582733813
