YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013H_001E,B19013H_001M
2014,6037930301,Census Tract 9303.01,Azusa,Los Angeles County,California,Azusa,84000.0,15859.0
2014,6037404701,Census Tract 4047.01,Baldwin Park,Los Angeles County,California,BaldwinPark,39922.0,51633.0
2014,6037404702,Census Tract 4047.02,Baldwin Park,Los Angeles County,California,BaldwinPark,47813.0,40285.0
2014,6037404703,Census Tract 4047.03,Baldwin Park,Los Angeles County,California,BaldwinPark,18000.0,18504.0
2014,6037404801,Census Tract 4048.01,Baldwin Park,Los Angeles County,California,BaldwinPark,31902.0,35545.0
2014,6037404802,Census Tract 4048.02,Baldwin Park,Los Angeles County,California,BaldwinPark,19464.0,50188.0
2014,6037404803,Census Tract 4048.03,Baldwin Park,Los Angeles County,California,BaldwinPark,48906.0,49764.0
2014,6037404901,Census Tract 4049.01,Baldwin Park,Los Angeles County,California,BaldwinPark,26071.0,48220.0
2014,6037404902,Census Tract 4049.02,Baldwin Park,Los Angeles County,California,BaldwinPark,68864.0,4561.0
2014,6037404903,Census Tract 4049.03,Baldwin Park,Los Angeles County,California,BaldwinPark,56500.0,47649.0
2014,6037405001,Census Tract 4050.01,Baldwin Park,Los Angeles County,California,BaldwinPark,61705.0,40045.0
2014,6037405002,Census Tract 4050.02,Baldwin Park,Los Angeles County,California,BaldwinPark,40972.0,34454.0
2014,6037405101,Census Tract 4051.01,Baldwin Park,Los Angeles County,California,BaldwinPark,111667.0,144110.0
2014,6037405102,Census Tract 4051.02,Baldwin Park,Los Angeles County,California,BaldwinPark,21875.0,19329.0
2014,6037405201,Census Tract 4052.01,Baldwin Park,Los Angeles County,California,BaldwinPark,48750.0,31937.0
2014,6037405202,Census Tract 4052.02,Baldwin Park,Los Angeles County,California,BaldwinPark,24722.0,17556.0
2014,6037405203,Census Tract 4052.03,Baldwin Park,Los Angeles County,California,BaldwinPark,89375.0,89074.0
2014,6037406901,Census Tract 4069.01,Baldwin Park,Los Angeles County,California,BaldwinPark,31625.0,32170.0
2014,6037407001,Census Tract 4070.01,Baldwin Park,Los Angeles County,California,BaldwinPark,93977.0,61649.0
2014,6037407002,Census Tract 4070.02,Baldwin Park,Los Angeles County,California,BaldwinPark,95833.0,68792.0
2014,6037532304,Census Tract 5323.04,Bell,Los Angeles County,California,Bell,19145.0,7808.0
2014,6037533601,Census Tract 5336.01,Bell,Los Angeles County,California,Bell,18750.0,26774.0
2014,6037533602,Census Tract 5336.02,Bell,Los Angeles County,California,Bell,54100.0,88496.0
2014,6037533603,Census Tract 5336.03,Bell,Los Angeles County,California,Bell,32303.0,36288.0
2014,6037533703,Census Tract 5337.03,Bell,Los Angeles County,California,Bell,38750.0,87741.0
2014,6037533803,Census Tract 5338.03,Bell,Los Angeles County,California,Bell,21950.0,24752.0
2014,6037533804,Census Tract 5338.04,Bell,Los Angeles County,California,Bell,42946.0,26065.0
2014,6037533805,Census Tract 5338.05,Bell,Los Angeles County,California,Bell,35294.0,28793.0
2014,6037533806,Census Tract 5338.06,Bell,Los Angeles County,California,Bell,53214.0,59053.0
2014,6037551900,Census Tract 5519,Bellflower,Los Angeles County,California,Bellflower,47804.0,11790.0
2014,6037553000,Census Tract 5530,Bellflower,Los Angeles County,California,Bellflower,52500.0,19562.0
2014,6037553100,Census Tract 5531,Bellflower,Los Angeles County,California,Bellflower,68427.0,15573.0
2014,6037553200,Census Tract 5532,Bellflower,Los Angeles County,California,Bellflower,70583.0,13963.0
2014,6037553300,Census Tract 5533,Bellflower,Los Angeles County,California,Bellflower,44688.0,6922.0
2014,6037554001,Census Tract 5540.01,Bellflower,Los Angeles County,California,Bellflower,50093.0,5736.0
2014,6037554002,Census Tract 5540.02,Bellflower,Los Angeles County,California,Bellflower,31875.0,15027.0
2014,6037554101,Census Tract 5541.01,Bellflower,Los Angeles County,California,Bellflower,51406.0,36273.0
2014,6037554103,Census Tract 5541.03,Bellflower,Los Angeles County,California,Bellflower,54958.0,17216.0
2014,6037554104,Census Tract 5541.04,Bellflower,Los Angeles County,California,Bellflower,51250.0,86942.0
2014,6037554105,Census Tract 5541.05,Bellflower,Los Angeles County,California,Bellflower,20625.0,11260.0
2014,6037554201,Census Tract 5542.01,Bellflower,Los Angeles County,California,Bellflower,74022.0,13339.0
2014,6037554203,Census Tract 5542.03,Bellflower,Los Angeles County,California,Bellflower,77105.0,31089.0
2014,6037554204,Census Tract 5542.04,Bellflower,Los Angeles County,California,Bellflower,18250.0,23421.0
2014,6037554301,Census Tract 5543.01,Bellflower,Los Angeles County,California,Bellflower,58188.0,45265.0
2014,6037554302,Census Tract 5543.02,Bellflower,Los Angeles County,California,Bellflower,61818.0,15093.0
2014,6037554403,Census Tract 5544.03,Bellflower,Los Angeles County,California,Bellflower,26667.0,8128.0
2014,6037554404,Census Tract 5544.04,Bellflower,Los Angeles County,California,Bellflower,46827.0,18612.0
2014,6037554405,Census Tract 5544.05,Bellflower,Los Angeles County,California,Bellflower,42109.0,22627.0
2014,6037554406,Census Tract 5544.06,Bellflower,Los Angeles County,California,Bellflower,77610.0,17788.0
2014,6037533901,Census Tract 5339.01,Bell Gardens,Los Angeles County,California,BellGardens,,
2014,6037533902,Census Tract 5339.02,Bell Gardens,Los Angeles County,California,BellGardens,21731.0,32966.0
2014,6037534001,Census Tract 5340.01,Bell Gardens,Los Angeles County,California,BellGardens,16250.0,55088.0
2014,6037534002,Census Tract 5340.02,Bell Gardens,Los Angeles County,California,BellGardens,40357.0,39454.0
2014,6037534101,Census Tract 5341.01,Bell Gardens,Los Angeles County,California,BellGardens,61023.0,21068.0
2014,6037534102,Census Tract 5341.02,Bell Gardens,Los Angeles County,California,BellGardens,49792.0,37578.0
2014,6037534201,Census Tract 5342.01,Bell Gardens,Los Angeles County,California,BellGardens,23125.0,12207.0
2014,6037534202,Census Tract 5342.02,Bell Gardens,Los Angeles County,California,BellGardens,,
2014,6037534203,Census Tract 5342.03,Bell Gardens,Los Angeles County,California,BellGardens,21500.0,19085.0
2014,6037261101,Census Tract 2611.01,Beverly Hills,Los Angeles County,California,BeverlyHills,203237.0,71623.0
2014,6037261102,Census Tract 2611.02,Beverly Hills,Los Angeles County,California,BeverlyHills,145625.0,20857.0
2014,6037265100,Census Tract 2651,Beverly Hills,Los Angeles County,California,BeverlyHills,102500.0,21989.0
2014,6037269000,Census Tract 2690,Beverly Hills,Los Angeles County,California,BeverlyHills,127399.0,37698.0
2014,6037700501,Census Tract 7005.01,Beverly Hills,Los Angeles County,California,BeverlyHills,62093.0,23394.0
2014,6037700600,Census Tract 7006,Beverly Hills,Los Angeles County,California,BeverlyHills,,
