YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013G_001E,B19013G_001M
2010,06037462500,Census Tract 4625,Altadena,Los Angeles County,California,Altadena,,
2010,06037430400,Census Tract 4304,Arcadia,Los Angeles County,California,Arcadia,,
2010,06037430600,Census Tract 4306,Arcadia,Los Angeles County,California,Arcadia,,
2010,06037430701,Census Tract 4307.01,Arcadia,Los Angeles County,California,Arcadia,,
2010,06037430721,Census Tract 4307.21,Arcadia,Los Angeles County,California,Arcadia,,
2010,06037430723,Census Tract 4307.23,Arcadia,Los Angeles County,California,Arcadia,,
2010,06037430724,Census Tract 4307.24,Arcadia,Los Angeles County,California,Arcadia,44444,33829
2010,06037430801,Census Tract 4308.01,Arcadia,Los Angeles County,California,Arcadia,,
2010,06037430802,Census Tract 4308.02,Arcadia,Los Angeles County,California,Arcadia,,
2010,06037430803,Census Tract 4308.03,Arcadia,Los Angeles County,California,Arcadia,212625,289790
2010,06037430902,Census Tract 4309.02,Arcadia,Los Angeles County,California,Arcadia,17328,211177
2010,06037431300,Census Tract 4313,Arcadia,Los Angeles County,California,Arcadia,,
2010,06037431400,Census Tract 4314,Arcadia,Los Angeles County,California,Arcadia,,
2010,06037431502,Census Tract 4315.02,Arcadia,Los Angeles County,California,Arcadia,36875,260182
2010,06037431600,Census Tract 4316,Arcadia,Los Angeles County,California,Arcadia,,
2010,06037431700,Census Tract 4317,Arcadia,Los Angeles County,California,Arcadia,250001,
2010,06037431800,Census Tract 4318,Arcadia,Los Angeles County,California,Arcadia,89667,399190
2010,06037431900,Census Tract 4319,Arcadia,Los Angeles County,California,Arcadia,,
2010,06037432500,Census Tract 4325,Arcadia,Los Angeles County,California,Arcadia,,
2010,06037463101,Census Tract 4631.01,Arcadia,Los Angeles County,California,Arcadia,,
2010,06037480011,Census Tract 4800.11,Arcadia,Los Angeles County,California,Arcadia,,
2010,06037554514,Census Tract 5545.14,Artesia,Los Angeles County,California,Artesia,80000,2047
2010,06037554515,Census Tract 5545.15,Artesia,Los Angeles County,California,Artesia,,
2010,06037554516,Census Tract 5545.16,Artesia,Los Angeles County,California,Artesia,,
2010,06037554521,Census Tract 5545.21,Artesia,Los Angeles County,California,Artesia,25305,19344
2010,06037554801,Census Tract 5548.01,Artesia,Los Angeles County,California,Artesia,,
