YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013F_001E,B19013F_001M
2013,06037311500,Census Tract 3115,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),110194,107576
2013,06037311600,Census Tract 3116,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),,
2013,06037311700,Census Tract 3117,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),66538,39104
2013,06037311801,Census Tract 3118.01,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),46142,4095
2013,06037311802,Census Tract 3118.02,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),37803,10113
2013,06037980001,Census Tract 9800.01,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),,
2013,06037137402,Census Tract 1374.02,Calabasas,Los Angeles County,California,Calabasas,,
2013,06037800101,Census Tract 8001.01,Calabasas,Los Angeles County,California,Calabasas,,
2013,06037800102,Census Tract 8001.02,Calabasas,Los Angeles County,California,Calabasas,,
2013,06037800202,Census Tract 8002.02,Calabasas,Los Angeles County,California,Calabasas,,
2013,06037800203,Census Tract 8002.03,Calabasas,Los Angeles County,California,Calabasas,,
2013,06037800204,Census Tract 8002.04,Calabasas,Los Angeles County,California,Calabasas,,
2013,06037800328,Census Tract 8003.28,Calabasas,Los Angeles County,California,Calabasas,,
2013,06037800329,Census Tract 8003.29,Calabasas,Los Angeles County,California,Calabasas,,
2013,06037291300,Census Tract 2913,Carson,Los Angeles County,California,Carson,,
2013,06037294110,Census Tract 2941.10,Carson,Los Angeles County,California,Carson,48375,22047
2013,06037541002,Census Tract 5410.02,Carson,Los Angeles County,California,Carson,38182,24746
2013,06037543100,Census Tract 5431,Carson,Los Angeles County,California,Carson,35156,23806
2013,06037543202,Census Tract 5432.02,Carson,Los Angeles County,California,Carson,37045,24648
2013,06037543304,Census Tract 5433.04,Carson,Los Angeles County,California,Carson,61250,98763
2013,06037543306,Census Tract 5433.06,Carson,Los Angeles County,California,Carson,86833,11815
2013,06037543321,Census Tract 5433.21,Carson,Los Angeles County,California,Carson,72083,80978
2013,06037543322,Census Tract 5433.22,Carson,Los Angeles County,California,Carson,,
2013,06037543400,Census Tract 5434,Carson,Los Angeles County,California,Carson,85000,33517
2013,06037543501,Census Tract 5435.01,Carson,Los Angeles County,California,Carson,65048,53359
2013,06037543601,Census Tract 5436.01,Carson,Los Angeles County,California,Carson,78553,49030
