YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013I_001E,B19013I_001M
2013,06037404202,Census Tract 4042.02,Azusa,Los Angeles County,California,Azusa,50887,8285
2013,06037404301,Census Tract 4043.01,Azusa,Los Angeles County,California,Azusa,38819,6253
2013,06037404302,Census Tract 4043.02,Azusa,Los Angeles County,California,Azusa,48875,8996
2013,06037404401,Census Tract 4044.01,Azusa,Los Angeles County,California,Azusa,52372,7760
2013,06037404402,Census Tract 4044.02,Azusa,Los Angeles County,California,Azusa,68063,12792
2013,06037404501,Census Tract 4045.01,Azusa,Los Angeles County,California,Azusa,49718,9872
2013,06037404503,Census Tract 4045.03,Azusa,Los Angeles County,California,Azusa,63138,2377
2013,06037404504,Census Tract 4045.04,Azusa,Los Angeles County,California,Azusa,41938,7121
2013,06037930301,Census Tract 9303.01,Azusa,Los Angeles County,California,Azusa,68869,6535
2013,06037404701,Census Tract 4047.01,Baldwin Park,Los Angeles County,California,BaldwinPark,48750,4658
2013,06037404702,Census Tract 4047.02,Baldwin Park,Los Angeles County,California,BaldwinPark,40132,14187
2013,06037404703,Census Tract 4047.03,Baldwin Park,Los Angeles County,California,BaldwinPark,50054,9351
2013,06037404801,Census Tract 4048.01,Baldwin Park,Los Angeles County,California,BaldwinPark,43798,8058
2013,06037404802,Census Tract 4048.02,Baldwin Park,Los Angeles County,California,BaldwinPark,52540,15690
2013,06037404803,Census Tract 4048.03,Baldwin Park,Los Angeles County,California,BaldwinPark,50900,2705
2013,06037404901,Census Tract 4049.01,Baldwin Park,Los Angeles County,California,BaldwinPark,57130,11218
2013,06037404902,Census Tract 4049.02,Baldwin Park,Los Angeles County,California,BaldwinPark,56042,8296
2013,06037404903,Census Tract 4049.03,Baldwin Park,Los Angeles County,California,BaldwinPark,50000,14163
2013,06037405001,Census Tract 4050.01,Baldwin Park,Los Angeles County,California,BaldwinPark,53006,5878
2013,06037405002,Census Tract 4050.02,Baldwin Park,Los Angeles County,California,BaldwinPark,66111,24709
2013,06037405101,Census Tract 4051.01,Baldwin Park,Los Angeles County,California,BaldwinPark,41200,7704
2013,06037405102,Census Tract 4051.02,Baldwin Park,Los Angeles County,California,BaldwinPark,38750,10138
2013,06037405201,Census Tract 4052.01,Baldwin Park,Los Angeles County,California,BaldwinPark,49901,7368
2013,06037405202,Census Tract 4052.02,Baldwin Park,Los Angeles County,California,BaldwinPark,52772,12904
2013,06037405203,Census Tract 4052.03,Baldwin Park,Los Angeles County,California,BaldwinPark,54375,37647
2013,06037406901,Census Tract 4069.01,Baldwin Park,Los Angeles County,California,BaldwinPark,54482,8884
2013,06037407001,Census Tract 4070.01,Baldwin Park,Los Angeles County,California,BaldwinPark,56393,7761
2013,06037407002,Census Tract 4070.02,Baldwin Park,Los Angeles County,California,BaldwinPark,66458,10981
2013,06037532304,Census Tract 5323.04,Bell,Los Angeles County,California,Bell,45121,11317
2013,06037533601,Census Tract 5336.01,Bell,Los Angeles County,California,Bell,33042,6400
2013,06037533602,Census Tract 5336.02,Bell,Los Angeles County,California,Bell,37716,8634
2013,06037533603,Census Tract 5336.03,Bell,Los Angeles County,California,Bell,36420,3897
2013,06037533703,Census Tract 5337.03,Bell,Los Angeles County,California,Bell,36719,8592
2013,06037533803,Census Tract 5338.03,Bell,Los Angeles County,California,Bell,33594,6750
2013,06037533804,Census Tract 5338.04,Bell,Los Angeles County,California,Bell,36406,4005
2013,06037533805,Census Tract 5338.05,Bell,Los Angeles County,California,Bell,37468,15719
2013,06037533806,Census Tract 5338.06,Bell,Los Angeles County,California,Bell,28873,12101
2013,06037551900,Census Tract 5519,Bellflower,Los Angeles County,California,Bellflower,73164,13752
2013,06037553000,Census Tract 5530,Bellflower,Los Angeles County,California,Bellflower,69116,11731
2013,06037553100,Census Tract 5531,Bellflower,Los Angeles County,California,Bellflower,70547,13035
2013,06037553200,Census Tract 5532,Bellflower,Los Angeles County,California,Bellflower,60975,25069
2013,06037553300,Census Tract 5533,Bellflower,Los Angeles County,California,Bellflower,30625,38252
2013,06037554001,Census Tract 5540.01,Bellflower,Los Angeles County,California,Bellflower,65776,13859
2013,06037554002,Census Tract 5540.02,Bellflower,Los Angeles County,California,Bellflower,53558,12184
2013,06037554101,Census Tract 5541.01,Bellflower,Los Angeles County,California,Bellflower,42800,6785
2013,06037554103,Census Tract 5541.03,Bellflower,Los Angeles County,California,Bellflower,101042,70017
2013,06037554104,Census Tract 5541.04,Bellflower,Los Angeles County,California,Bellflower,44485,28027
2013,06037554105,Census Tract 5541.05,Bellflower,Los Angeles County,California,Bellflower,37742,23186
2013,06037554201,Census Tract 5542.01,Bellflower,Los Angeles County,California,Bellflower,43036,6841
2013,06037554203,Census Tract 5542.03,Bellflower,Los Angeles County,California,Bellflower,33571,12114
2013,06037554204,Census Tract 5542.04,Bellflower,Los Angeles County,California,Bellflower,32151,15286
2013,06037554301,Census Tract 5543.01,Bellflower,Los Angeles County,California,Bellflower,60192,18403
2013,06037554302,Census Tract 5543.02,Bellflower,Los Angeles County,California,Bellflower,43772,23352
2013,06037554403,Census Tract 5544.03,Bellflower,Los Angeles County,California,Bellflower,46573,7441
2013,06037554404,Census Tract 5544.04,Bellflower,Los Angeles County,California,Bellflower,44071,8552
2013,06037554405,Census Tract 5544.05,Bellflower,Los Angeles County,California,Bellflower,50605,18739
2013,06037554406,Census Tract 5544.06,Bellflower,Los Angeles County,California,Bellflower,65841,21897
2013,06037533901,Census Tract 5339.01,Bell Gardens,Los Angeles County,California,BellGardens,40665,4718
2013,06037533902,Census Tract 5339.02,Bell Gardens,Los Angeles County,California,BellGardens,37256,6611
2013,06037534001,Census Tract 5340.01,Bell Gardens,Los Angeles County,California,BellGardens,38212,5223
2013,06037534002,Census Tract 5340.02,Bell Gardens,Los Angeles County,California,BellGardens,58393,12051
2013,06037534101,Census Tract 5341.01,Bell Gardens,Los Angeles County,California,BellGardens,36741,13163
2013,06037534102,Census Tract 5341.02,Bell Gardens,Los Angeles County,California,BellGardens,33209,7005
2013,06037534201,Census Tract 5342.01,Bell Gardens,Los Angeles County,California,BellGardens,31354,1839
2013,06037534202,Census Tract 5342.02,Bell Gardens,Los Angeles County,California,BellGardens,38604,3994
2013,06037534203,Census Tract 5342.03,Bell Gardens,Los Angeles County,California,BellGardens,37566,6179
2013,06037261101,Census Tract 2611.01,Beverly Hills,Los Angeles County,California,BeverlyHills,,
2013,06037261102,Census Tract 2611.02,Beverly Hills,Los Angeles County,California,BeverlyHills,101023,64039
2013,06037265100,Census Tract 2651,Beverly Hills,Los Angeles County,California,BeverlyHills,,
