YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013D_001E,B19013D_001M
2013,06037404802,Census Tract 4048.02,Baldwin Park,Los Angeles County,California,BaldwinPark,58333,28632
2013,06037404803,Census Tract 4048.03,Baldwin Park,Los Angeles County,California,BaldwinPark,82727,19474
2013,06037404901,Census Tract 4049.01,Baldwin Park,Los Angeles County,California,BaldwinPark,75227,28373
2013,06037404902,Census Tract 4049.02,Baldwin Park,Los Angeles County,California,BaldwinPark,67308,22120
2013,06037404903,Census Tract 4049.03,Baldwin Park,Los Angeles County,California,BaldwinPark,39500,42664
2013,06037405001,Census Tract 4050.01,Baldwin Park,Los Angeles County,California,BaldwinPark,64125,43902
2013,06037405002,Census Tract 4050.02,Baldwin Park,Los Angeles County,California,BaldwinPark,95263,92519
2013,06037405101,Census Tract 4051.01,Baldwin Park,Los Angeles County,California,BaldwinPark,75694,7404
2013,06037405102,Census Tract 4051.02,Baldwin Park,Los Angeles County,California,BaldwinPark,59671,14294
2013,06037405201,Census Tract 4052.01,Baldwin Park,Los Angeles County,California,BaldwinPark,41000,24161
2013,06037405202,Census Tract 4052.02,Baldwin Park,Los Angeles County,California,BaldwinPark,63036,39993
2013,06037405203,Census Tract 4052.03,Baldwin Park,Los Angeles County,California,BaldwinPark,96250,63106
2013,06037406901,Census Tract 4069.01,Baldwin Park,Los Angeles County,California,BaldwinPark,25577,22983
2013,06037407001,Census Tract 4070.01,Baldwin Park,Los Angeles County,California,BaldwinPark,65500,19659
2013,06037407002,Census Tract 4070.02,Baldwin Park,Los Angeles County,California,BaldwinPark,116033,28049
2013,06037532304,Census Tract 5323.04,Bell,Los Angeles County,California,Bell,,
2013,06037533601,Census Tract 5336.01,Bell,Los Angeles County,California,Bell,,
2013,06037533602,Census Tract 5336.02,Bell,Los Angeles County,California,Bell,,
2013,06037533603,Census Tract 5336.03,Bell,Los Angeles County,California,Bell,,
2013,06037533703,Census Tract 5337.03,Bell,Los Angeles County,California,Bell,,
2013,06037533803,Census Tract 5338.03,Bell,Los Angeles County,California,Bell,,
2013,06037533804,Census Tract 5338.04,Bell,Los Angeles County,California,Bell,,
2013,06037533805,Census Tract 5338.05,Bell,Los Angeles County,California,Bell,,
2013,06037533806,Census Tract 5338.06,Bell,Los Angeles County,California,Bell,,
2013,06037551900,Census Tract 5519,Bellflower,Los Angeles County,California,Bellflower,71818,33453
2013,06037553000,Census Tract 5530,Bellflower,Los Angeles County,California,Bellflower,96719,55873
2013,06037553100,Census Tract 5531,Bellflower,Los Angeles County,California,Bellflower,67500,33396
2013,06037553200,Census Tract 5532,Bellflower,Los Angeles County,California,Bellflower,106250,45534
2013,06037553300,Census Tract 5533,Bellflower,Los Angeles County,California,Bellflower,75357,27156
2013,06037554001,Census Tract 5540.01,Bellflower,Los Angeles County,California,Bellflower,78929,7235
2013,06037554002,Census Tract 5540.02,Bellflower,Los Angeles County,California,Bellflower,22458,26682
2013,06037554101,Census Tract 5541.01,Bellflower,Los Angeles County,California,Bellflower,57734,28349
2013,06037554103,Census Tract 5541.03,Bellflower,Los Angeles County,California,Bellflower,108125,147884
2013,06037554104,Census Tract 5541.04,Bellflower,Los Angeles County,California,Bellflower,19250,64116
2013,06037554105,Census Tract 5541.05,Bellflower,Los Angeles County,California,Bellflower,47450,63930
2013,06037554201,Census Tract 5542.01,Bellflower,Los Angeles County,California,Bellflower,110551,30452
2013,06037554203,Census Tract 5542.03,Bellflower,Los Angeles County,California,Bellflower,61875,88252
2013,06037554204,Census Tract 5542.04,Bellflower,Los Angeles County,California,Bellflower,50882,7003
2013,06037554301,Census Tract 5543.01,Bellflower,Los Angeles County,California,Bellflower,44583,34746
2013,06037554302,Census Tract 5543.02,Bellflower,Los Angeles County,California,Bellflower,24432,41449
2013,06037554403,Census Tract 5544.03,Bellflower,Los Angeles County,California,Bellflower,49125,89029
2013,06037554404,Census Tract 5544.04,Bellflower,Los Angeles County,California,Bellflower,60375,7980
2013,06037554405,Census Tract 5544.05,Bellflower,Los Angeles County,California,Bellflower,58235,8894
2013,06037554406,Census Tract 5544.06,Bellflower,Los Angeles County,California,Bellflower,46364,29852
2013,06037533901,Census Tract 5339.01,Bell Gardens,Los Angeles County,California,BellGardens,,
2013,06037533902,Census Tract 5339.02,Bell Gardens,Los Angeles County,California,BellGardens,,
2013,06037534001,Census Tract 5340.01,Bell Gardens,Los Angeles County,California,BellGardens,,
2013,06037534002,Census Tract 5340.02,Bell Gardens,Los Angeles County,California,BellGardens,,
2013,06037534101,Census Tract 5341.01,Bell Gardens,Los Angeles County,California,BellGardens,,
2013,06037534102,Census Tract 5341.02,Bell Gardens,Los Angeles County,California,BellGardens,,
2013,06037534201,Census Tract 5342.01,Bell Gardens,Los Angeles County,California,BellGardens,,
2013,06037534202,Census Tract 5342.02,Bell Gardens,Los Angeles County,California,BellGardens,,
2013,06037534203,Census Tract 5342.03,Bell Gardens,Los Angeles County,California,BellGardens,,
2013,06037261101,Census Tract 2611.01,Beverly Hills,Los Angeles County,California,BeverlyHills,201250,204948
2013,06037261102,Census Tract 2611.02,Beverly Hills,Los Angeles County,California,BeverlyHills,248056,199718
2013,06037265100,Census Tract 2651,Beverly Hills,Los Angeles County,California,BeverlyHills,100063,77990
2013,06037269000,Census Tract 2690,Beverly Hills,Los Angeles County,California,BeverlyHills,77824,41405
2013,06037700501,Census Tract 7005.01,Beverly Hills,Los Angeles County,California,BeverlyHills,52685,26334
2013,06037700600,Census Tract 7006,Beverly Hills,Los Angeles County,California,BeverlyHills,24792,27039
2013,06037700700,Census Tract 7007,Beverly Hills,Los Angeles County,California,BeverlyHills,,
2013,06037700801,Census Tract 7008.01,Beverly Hills,Los Angeles County,California,BeverlyHills,54127,6416
2013,06037700802,Census Tract 7008.02,Beverly Hills,Los Angeles County,California,BeverlyHills,73262,16678
2013,06037700901,Census Tract 7009.01,Beverly Hills,Los Angeles County,California,BeverlyHills,86389,18862
2013,06037700902,Census Tract 7009.02,Beverly Hills,Los Angeles County,California,BeverlyHills,53973,15120
2013,06037701000,Census Tract 7010,Beverly Hills,Los Angeles County,California,BeverlyHills,123190,45197
2013,06037430200,Census Tract 4302,Bradbury,Los Angeles County,California,Bradbury,146250,92576
2013,06037123103,Census Tract 1231.03,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),77750,26977
2013,06037310100,Census Tract 3101,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),118203,104606
2013,06037310201,Census Tract 3102.01,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),77963,45642
2013,06037310202,Census Tract 3102.02,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),82143,105557
2013,06037310300,Census Tract 3103,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),111786,85031
2013,06037310400,Census Tract 3104,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),135000,64420
2013,06037310501,Census Tract 3105.01,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),98581,16817
2013,06037310601,Census Tract 3106.01,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),93981,40313
2013,06037310602,Census Tract 3106.02,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),72679,93457
2013,06037310701,Census Tract 3107.01,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),157500,221806
2013,06037310702,Census Tract 3107.02,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),43771,9847
2013,06037310703,Census Tract 3107.03,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),43971,6881
2013,06037310800,Census Tract 3108,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),80192,41014
2013,06037310900,Census Tract 3109,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),129821,30656
2013,06037311000,Census Tract 3110,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),81000,38757
2013,06037311100,Census Tract 3111,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),86875,41112
2013,06037311200,Census Tract 3112,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),135089,31032
2013,06037311300,Census Tract 3113,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),44138,45829
2013,06037311400,Census Tract 3114,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),91765,41476
2013,06037311500,Census Tract 3115,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),70938,75205
2013,06037311600,Census Tract 3116,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),101357,26253
